"","listFiles","listNumExp","lightIntensity1","productivity1","productivitySE1","nLight1","r2Light1","pvalueLight1","respiration1","respirationSE1","nDark1","r2Dark1","pvalueDark1","lightIntensity2","productivity2","productivitySE2","nLight2","r2Light2","pvalueLight2","respiration2","respirationSE2","nDark2","r2Dark2","pvalueDark2"
"34","21_11_02_lustulia_LoCoMeLi.csv",30,51.0449533408913,-0.0339173281629339,0.00024108038422947,149,0.992577867084653,1.2206112898618e-158,-0.0411022819808731,0.000589583347796815,147,0.970829508803509,2.08363881938944e-113,101.155888854518,-0.022353887659514,0.000492008313073129,137,0.938160596721458,1.10554950030129e-83,-0.0375383217147031,0.000414601928272711,148,0.982381719513716,3.64528164177004e-130
"32","21_11_02_lustulia_LoCoHiLi.csv",31,101.148359093083,-0.0292398832331424,0.000290878595858795,144,0.986044424119602,7.73969979408484e-134,-0.0385728074760031,0.000248195155705492,149,0.99390953215934,5.9463951326883e-165,51.1376282728532,-0.033051976325188,0.000458052281921308,188,0.965323663143811,6.03479361573691e-138,-0.0381744141845157,0.000411596544881967,145,0.983533517922309,1.25201844414642e-129
"36","21_11_02_lustulia_MeCoLoLi.csv",32,51.0734175803636,0.00676871015493372,0.000310221226592418,121,0.7983423086207,2.08521326857812e-43,-0.0332483293262216,0.000589077866116434,148,0.955877347755946,4.70442909086694e-101,99.065655243379,0.0155277875131061,0.000247608984507865,138,0.966327977209943,3.01716645405177e-102,-0.0287819749340368,0.000286386452675042,133,0.987098471394832,7.51459392637829e-126
"37","21_11_02_lustulia_MeCoMeLi.csv",33,99.0879516415328,-0.00574736412237953,0.000317649728662174,131,0.715144152739286,3.33931301406766e-37,-0.0367970964881372,0.000303388323796002,169,0.988707830178466,9.61096635420667e-165,49.8332911185221,-0.00842185822822234,0.000646771648042697,86,0.664768718384169,7.44776895038397e-22,-0.0387854945618831,0.000330406587649284,159,0.988663065350836,7.36507269526655e-155
"35","21_11_02_lustulia_MeCoHiLi.csv",34,49.8474516136336,-0.0349123983610463,0.000283189468200508,143,0.99074294729414,1.77208526602175e-145,-0.0433516399613437,0.000255442176018985,151,0.994818869870164,2.10827514833133e-172,99.9297417445222,-0.017156487392966,0.00174169974012706,167,0.366486992906505,2.70573204107113e-18,-0.0395718229079166,0.00189831404620823,124,0.778994102716345,5.04659464714561e-42
"30","21_11_02_lustulia_HiCoLoLi.csv",35,99.9809945912243,0.0747234633915579,0.00290397495890702,144,0.822162995255428,2.52211585773771e-55,-0.0471723874120191,0.00331022647373032,149,0.577235616135154,1.72000212370346e-29,51.3197260975638,0.0343006013756727,0.00179097221326894,149,0.711948492360226,8.79446542762849e-42,-0.043898851196083,0.00230729013448488,146,0.713435582608331,3.95510044851838e-41
"31","21_11_02_lustulia_HiCoMeLi.csv",36,51.1590967119692,0.016991871769495,0.000698844534424204,104,0.851409902943462,3.06065561398213e-44,-0.0717752718821579,0.0014137449114493,164,0.940501239640366,2.12933334686964e-101,102.536731818159,0.0635928634771328,0.000286010099118894,207,0.995850306298823,2.37929512875145e-246,-0.0645074099473529,0.000578582244531087,141,0.988861938024847,7.39488214218419e-138
"29","21_11_02_lustulia_HiCoHiLi.csv",37,102.521306123342,0.0209967349476596,0.000692944879397111,146,0.8634824077145,2.346173162173e-64,-0.0593922595446056,0.00207377378414958,148,0.847862692809199,8.72715116879095e-62,48.6667847433678,-0.0173196099777879,0.00121492425173683,174,0.538943692165711,6.03860885121277e-31,-0.0665767400286822,0.000770546963369263,142,0.981460278994334,2.41504903386128e-123
"42","21_11_04_lustulia_LoCoLoLi.csv",38,49.0995945570215,-0.0730725408937108,0.000256982565164885,144,0.998234479043516,1.37086624030095e-197,-0.110194154772983,0.000204618887972378,148,0.999493390787539,1.10625663402838e-242,100.909269409111,-0.01336328830915,0.000236037584500196,90,0.972975172719981,5.19828407405799e-71,-0.116802037427678,0.000158382576684248,152,0.999722430876675,7.07358570074887e-269
"43","21_11_04_lustulia_LoCoMeLi.csv",39,100.962854413132,-0.064346561655075,0.000283097509586916,129,0.997528474563582,1.22093977705132e-167,-0.135004009079288,0.00098816847219354,149,0.992132741474494,8.82740079817036e-157,49.1800946343832,-0.108597676029372,0.000378899401591281,143,0.998274359506087,6.53950133642343e-197,-0.129402020047001,0.00063020489740207,146,0.996572569416134,1.33070690683738e-179
"41","21_11_04_lustulia_LoCoHiLi.csv",40,49.2233946381711,-0.123040379918749,0.000321003487994512,149,0.9989936441569,2.01180392387683e-222,-0.149020537572679,0.000678464031570527,149,0.996941546944063,6.111759933103e-187,100.185688713954,-0.119197860067983,0.00082100770858628,153,0.992840196618418,4.38393030235591e-164,-0.151239792427405,0.000322600817498672,142,0.999358877017989,1.25243622186666e-225
"45","21_11_04_lustulia_MeCoLoLi.csv",41,100.224266085588,0.034702634354367,0.000602201674826859,119,0.965675589256689,9.7918762091905e-88,-0.0587977386898064,0.00204604768716413,50,0.943924908572548,6.70480129309964e-32,49.5314209842797,0.00637272448985815,0.00065977285504862,64,0.594322187390359,5.60330807633586e-14,-0.072359316857863,0.000369450928051593,145,0.99626000417888,1.17004610381488e-175
"46","21_11_04_lustulia_MeCoMeLi.csv",42,49.5133460654782,-0.0347560242893627,0.000164966904807538,142,0.996833460047246,4.50139715356863e-177,-0.0706243020420963,0.000249970145913087,151,0.998124360782216,2.80685024094154e-205,102.299333409558,-0.0132517765688859,0.000450821156575068,113,0.885134273229511,3.37635344514532e-54,-0.071009447100485,0.000255898122371685,140,0.998198065084947,1.82486479464067e-191
"44","21_11_04_lustulia_MeCoHiLi.csv",43,102.292284802385,-0.0426385999723347,0.000124601277464039,182,0.998456699005712,3.2964116869176e-255,-0.064688151792809,0.000348759693872843,157,0.995485856033869,6.60969758845711e-184,48.9936787862206,-0.0619106928299056,0.000118074800525615,184,0.999334808337651,2.77367533539034e-291,-0.0790827549910423,0.000403116448035617,79,0.997977334708884,1.04720878380526e-105
"39","21_11_04_lustulia_HiCoLoLi.csv",44,48.8008521026925,0.0990227722224776,0.00019898856918829,147,0.999410770160293,2.81756449936941e-236,-0.0253380498401794,0.00010140226952068,202,0.996791100296434,1.48107787596553e-251,101.05310539232,0.146803003304264,0.000352062498584425,100,0.999430937281903,4.92196808628843e-161,-0.0290303538378558,0.000142802157431872,146,0.996503590770755,5.58670355828788e-179
