Latest: Time (min),Latest: Dissolved O2 (mg/L),Latest: LED (umol photons/m2/s),Latest: S171 Temp (V) (V),Latest: Temperature (°C)
4.316666667,2.023621848,-594.9567102,1.312637329,22.72128866
4.333333333,2.021758966,-594.9567102,1.312713623,22.71996659
4.35,2.02016221,-594.9567102,1.312561035,22.72261082
4.366666667,2.021226714,-594.9567102,1.312713623,22.71996659
4.383333333,2.02016221,-594.9567102,1.312713623,22.71996659
4.4,2.020694462,-594.9567102,1.312713623,22.71996659
4.416666667,2.021226714,-594.9567102,1.312637329,22.72128866
4.433333333,2.020960588,-594.9567102,1.312789917,22.7186446
4.45,2.019896084,-594.9567102,1.312789917,22.7186446
4.466666667,2.020960588,-594.9567102,1.312713623,22.71996659
4.483333333,2.018565454,-594.9567102,1.312637329,22.72128866
4.5,2.019097706,-594.9567102,1.312713623,22.71996659
4.516666667,2.019097706,-594.9567102,1.312942505,22.71600088
4.533333333,2.017234824,-594.9567102,1.312789917,22.7186446
4.55,2.016702573,-594.9567102,1.312942505,22.71600088
4.566666667,2.016170321,-594.9567102,1.312637329,22.72128866
4.583333333,2.016702573,-594.9567102,1.312789917,22.7186446
4.6,2.016702573,-594.9567102,1.312637329,22.72128866
4.616666667,2.016170321,-594.9567102,1.312789917,22.7186446
4.633333333,2.015904195,-594.9567102,1.312561035,22.72261082
4.65,2.016436447,-594.9567102,1.312713623,22.71996659
4.666666667,2.016968699,-594.9567102,1.312789917,22.7186446
4.683333333,2.015904195,-594.9567102,1.312789917,22.7186446
4.7,2.015638069,-594.9567102,1.312866211,22.71732269
4.716666667,2.014573565,-594.9567102,1.312713623,22.71996659
4.733333333,2.014307439,-594.9567102,1.312713623,22.71996659
4.75,2.014839691,-594.9567102,1.312637329,22.72128866
4.766666667,2.014307439,-594.9567102,1.312484741,22.72393307
4.783333333,2.011912305,-594.9567102,1.312561035,22.72261082
4.8,2.011912305,-594.9567102,1.312637329,22.72128866
4.816666667,2.010315549,-594.9567102,1.312561035,22.72261082
4.833333333,2.010847801,-594.9567102,1.312637329,22.72128866
4.85,2.010847801,-594.9567102,1.312561035,22.72261082
4.866666667,2.009783297,-594.9567102,1.312484741,22.72393307
4.883333333,2.008186542,-594.9567102,1.312637329,22.72128866
4.9,2.00898492,-594.9567102,1.312561035,22.72261082
4.916666667,2.008186542,-594.9567102,1.312713623,22.71996659
4.933333333,2.00898492,-594.9567102,1.312713623,22.71996659
4.95,2.008718794,-594.9567102,1.312866211,22.71732269
4.966666667,2.007920416,-594.9567102,1.312789917,22.7186446
4.983333333,2.00765429,-594.9567102,1.312866211,22.71732269
5,2.008452668,-594.9567102,1.313018799,22.71467915
5.016666667,2.007388164,50.55416779,1.312942505,22.71600088
5.033333333,2.004726904,50.55416779,1.313018799,22.71467915
